home,away,area,scoreHome,scoreAway
Nueva Zelanda,Islas Salomón,oceania,6,1
Nueva Caledonia,Nueva Zelanda,oceania,0,2
Islas Salomón,Tahití,oceania,2,0
Tahití,Nueva Caledonia,oceania,1,0
Islas Salomón,Nueva Zelanda,oceania,3,4
Nueva Zelanda,Nueva Caledonia,oceania,0,2
Tahití,Islas Salomón,oceania,1,0
Nueva Zelanda,Islas Salomón,oceania,1,1
Papúa Nueva Guinea,Fiyi,oceania,1,1
Tahití,Vanuatu,oceania,4,1
Nueva Caledonia,Samoa,oceania,9,0
Fiyi,Islas Salomón,oceania,0,0
Papúa Nueva Guinea,Nueva Zelanda,oceania,1,2
Tahití,Nueva Caledonia,oceania,4,3
Vanuatu,Samoa,oceania,5,0
Islas Salomón,Papúa Nueva Guinea,oceania,1,0
Fiyi,Nueva Zelanda,oceania,0,1
Vanuatu,Nueva Caledonia,oceania,2,5
Samoa,Tahití,oceania,1,10
Samoa,Samoa Estadounidense,oceania,1,0
Tonga,Islas Cook,oceania,2,1
Samoa,Tonga,oceania,1,1
Samoa Estadounidense,Islas Cook,oceania,1,1
Islas Cook,Samoa,oceania,2,3
Samoa Estadounidense,Tonga,oceania,2,1
Nigeria,Argentina,asia,2,3
Bosnia y Herzegovina,Irán,asia,3,1
Honduras,Suiza,asia,0,3
Ecuador,Francia,asia,0,0
EEUU,Alemania,asia,0,1
Portugal,Ghana,asia,2,1
República de Corea,Bélgica,asia,0,1
Argelia,Rusia,asia,1,1
EEUU,Alemania,asia,0,1
Uruguay,Jordania,asia,0,0
Jordania,Uruguay,asia,0,5
Uzbekistán,Jordania,asia,1,1
Jordania,Uzbekistán,asia,1,1
República de Corea,Irán,asia,0,1
Australia,Irak,asia,1,0
Jordania,Omán,asia,1,0
Uzbekistán,Qatar,asia,5,1
República de Corea,Uzbekistán,asia,1,0
Irán,Líbano,asia,4,0
Australia,Jordania,asia,4,0
Irak,Japón,asia,0,1
Líbano,República de Corea,asia,1,1
Japón,Australia,asia,1,1
Qatar,Irán,asia,0,1
Omán,Irak,asia,1,0
República de Corea,Qatar,asia,2,1
Australia,Omán,asia,2,2
Uzbekistán,Líbano,asia,1,0
Jordania,Japón,asia,2,1
Irán,Uzbekistán,asia,0,1
Qatar,Líbano,asia,1,0
Irak,Jordania,asia,1,0
Omán,Japón,asia,1,2
Irán,República de Corea,asia,1,0
Irak,Australia,asia,1,2
Omán,Jordania,asia,2,1
Qatar,Uzbekistán,asia,0,1
Japón,Irak,asia,1,0
Jordania,Australia,asia,2,1
Uzbekistán,República de Corea,asia,2,2
Líbano,Irán,asia,1,0
República de Corea,Líbano,asia,3,0
Irán,Qatar,asia,0,0
Australia,Japón,asia,1,1
Irak,Omán,asia,1,1
Japón,Jordania,asia,6,0
Qatar,República de Corea,asia,1,4
Omán,Australia,asia,0,0
Líbano,Uzbekistán,asia,1,1
Líbano,Qatar,asia,0,1
Japón,Omán,asia,3,0
Uzbekistán,Irán,asia,0,1
Jordania,Irak,asia,1,1
República de Corea,Kuwait,asia,2,0
Australia,Arabia Saudí,asia,4,2
Japón,Uzbekistán,asia,0,1
Irán,Qatar,asia,2,2
Irak,Singapur,asia,7,1
Bahréin,Indonesia,asia,10,0
Emiratos Árabes Unidos,Líbano,asia,4,2
RP China,Jordania,asia,3,1
Omán,Tailandia,asia,2,0
Tayikistán,RDP de Corea,asia,1,1
Singapur,RP China,asia,0,4
Arabia Saudí,Omán,asia,0,0
Qatar,Bahréin,asia,0,0
Indonesia,Irán,asia,1,4
Tailandia,Australia,asia,0,1
Jordania,Irak,asia,1,3
Uzbekistán,Tayikistán,asia,3,0
Kuwait,Emiratos Árabes Unidos,asia,2,1
RDP de Corea,Japón,asia,1,0
Líbano,República de Corea,asia,2,1
Arabia Saudí,Tailandia,asia,3,0
Qatar,Indonesia,asia,4,0
Bahréin,Irán,asia,1,1
Omán,Australia,asia,1,0
Uzbekistán,RDP de Corea,asia,1,0
Jordania,Singapur,asia,2,0
Kuwait,Líbano,asia,0,1
Irak,RP China,asia,1,0
Emiratos Árabes Unidos,República de Corea,asia,0,2
Tayikistán,Japón,asia,0,4
RP China,Irak,asia,0,1
República de Corea,Emiratos Árabes Unidos,asia,2,1
Japón,Tayikistán,asia,8,0
Singapur,Jordania,asia,0,3
Australia,Omán,asia,3,0
Irán,Bahréin,asia,6,0
Indonesia,Qatar,asia,2,3
Tailandia,Arabia Saudí,asia,0,0
Líbano,Kuwait,asia,2,2
RDP de Corea,Uzbekistán,asia,0,1
Arabia Saudí,Australia,asia,1,3
Kuwait,República de Corea,asia,1,1
Qatar,Irán,asia,1,1
Singapur,Irak,asia,0,2
Uzbekistán,Japón,asia,1,1
Jordania,RP China,asia,2,1
